AER,KZN,1507
ASF,KZN,1040
ASF,MRV,448
CEK,KZN,771
CEK,OVB,1339
DME,KZN,716
DME,NBC,892
DME,TGK,915
DME,UUA,951
EGO,KGD,1172
EGO,KZN,1008
GYD,NBC,1685
KGD,EGO,1172
KZN,AER,1507
KZN,ASF,1040
KZN,CEK,771
KZN,DME,716
KZN,EGO,1008
KZN,LED,1217
KZN,SVX,724
LED,KZN,1217
LED,NBC,1373
LED,UUA,1464
MRV,ASF,448
NBC,DME,892
NBC,GYD,1685
NBC,LED,1373
NBC,SVX,555
NJC,SVX,1013
NJC,UUA,1557
NUX,SVX,1325
OVB,CEK,1339
OVB,SVX,1370
SVX,KZN,724
SVX,NBC,555
SVX,NJC,1013
SVX,NUX,1325
SVX,OVB,1370
TGK,DME,915
UUA,DME,951
UUA,LED,1464
UUA,NJC,1557
BTK,IKT,488
BTK,OVB,1199
HTA,IKT,609
IKT,BTK,488
IKT,HTA,609
IKT,KCK,655
IKT,ODO,882
IKT,OVB,1459
IKT,UKX,517
IKT,ULK,1135
IKT,YKS,1860
KCK,IKT,655
MJZ,OVB,1967
ODO,IKT,882
OVB,BTK,1199
OVB,IKT,1459
UKX,IKT,517
ULK,IKT,1135
YKS,IKT,1860
AYP,LIM,340
CUZ,LIM,586
CUZ,PEM,311
HUU,LIM,258
IQT,PCL,530
IQT,TPP,455
LIM,AYP,340
LIM,CUZ,586
LIM,HUU,258
LIM,PCL,491
LIM,TPP,618
PCL,IQT,530
PCL,LIM,491
PCL,TPP,287
PEM,CUZ,311
TPP,IQT,455
TPP,LIM,618
TPP,PCL,287
ABJ,BOY,657
ABJ,OUA,832
ACC,OUA,765
BKO,ABJ,921
BKO,DKR,1060
BKO,OUA,699
BOY,ABJ,657
BOY,OUA,334
COO,LFW,127
COO,OUA,792
DKR,BKO,1060
DKR,OUA,1747
LFW,OUA,752
NIM,OUA,420
OUA,ABJ,832
OUA,ACC,765
OUA,BKO,699
OUA,BOY,334
OUA,COO,792
OUA,DKR,1747
OUA,LFW,752
OUA,NIM,420
BOG,GYE,994
BOG,UIO,712
CLO,GYE,744
GYE,BOG,994
GYE,CLO,744
GYE,SCY,1091
GYE,UIO,282
OCC,UIO,157
SCY,GYE,1091
UIO,BOG,712
UIO,GYE,282
UIO,OCC,157
